method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.145,,0.42188622754491023
DM,1,static,power,0.15,,0.4494011976047904
DM,2,static,power,0.165,,0.4628942115768463
DM,3,static,power,0.165,,0.47191616766467065
DM,4,static,power,0.115,,0.48553892215568867
Oracle,0,static,power,1.0,,0.001996007984031936
Oracle,1,static,power,1.0,,0.001996007984031936
Oracle,2,static,power,1.0,,0.0020059880239520957
Oracle,3,static,power,1.0,,0.0029740518962075844
Oracle,4,static,power,0.905,,0.04027944111776447
RV,0,static,power,0.92,0.9396967028043004,0.03739520958083833
RV,1,static,power,0.885,0.9342815697751697,0.05312375249500998
RV,2,static,power,0.81,0.9334247012578913,0.07441117764471059
RV,3,static,power,0.745,0.9202903716464935,0.1137125748502994
RV,4,static,power,0.425,0.8541115172764537,0.22351297405189618
SS,0,static,power,0.565,0.7005303292887385,0.3580738522954092
SS,1,static,power,0.545,0.7750563024702146,0.3575548902195609
SS,2,static,power,0.5,0.8751065416912879,0.35529940119760484
SS,3,static,power,0.36,1.0544822965380332,0.3615269461077844
SS,4,static,power,0.17,1.5599910683674083,0.44588822355289426
cDM,0,static,power,0.315,,0.329750499001996
cDM,1,static,power,0.275,,0.36057884231536924
cDM,2,static,power,0.225,,0.3802694610778443
cDM,3,static,power,0.175,,0.4178542914171657
cDM,4,static,power,0.12,,0.4731636726546906
