method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.205,,0.41222554890219565
DM,1,static,power,0.24,,0.4239221556886228
DM,2,static,power,0.2,,0.45040918163672655
DM,3,static,power,0.185,,0.4477944111776447
DM,4,static,power,0.135,,0.4692914171656687
Oracle,0,static,power,1.0,,0.001996007984031936
Oracle,1,static,power,1.0,,0.001996007984031936
Oracle,2,static,power,1.0,,0.001996007984031936
Oracle,3,static,power,1.0,,0.00218562874251497
Oracle,4,static,power,0.93,,0.02935129740518962
RV,0,static,power,0.94,0.9104511414398445,0.033792415169660674
RV,1,static,power,0.935,0.9045773838146536,0.03963073852295409
RV,2,static,power,0.875,0.9001233179820711,0.05343313373253493
RV,3,static,power,0.8,0.87738388041574,0.08895209580838323
RV,4,static,power,0.525,0.8073844042421991,0.1850499001996008
SS,0,static,power,0.645,0.6723103793244302,0.31469061876247506
SS,1,static,power,0.63,0.7353699034517368,0.31306387225548904
SS,2,static,power,0.575,0.8369527083422048,0.3112275449101796
SS,3,static,power,0.445,1.0108318982982396,0.3300698602794411
SS,4,static,power,0.175,1.4935300438294632,0.4322355289421158
cDM,0,static,power,0.275,,0.3268363273453094
cDM,1,static,power,0.275,,0.3413672654690619
cDM,2,static,power,0.25,,0.3877245508982036
cDM,3,static,power,0.19,,0.4132035928143713
cDM,4,static,power,0.1,,0.4619461077844311
