method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.215,,0.41516966067864275
DM,1,lagged,power,0.22,,0.43164670658682636
DM,2,lagged,power,0.195,,0.467435129740519
DM,3,lagged,power,0.185,,0.45805389221556886
DM,4,lagged,power,0.14,,0.47153692614770454
Oracle,0,lagged,power,1.0,,0.001996007984031936
Oracle,1,lagged,power,1.0,,0.001996007984031936
Oracle,2,lagged,power,1.0,,0.001996007984031936
Oracle,3,lagged,power,0.995,,0.00469061876247505
Oracle,4,lagged,power,0.795,,0.07343313373253493
RC,0,lagged,power,0.72,0.7538313063519037,0.12345309381237525
RC,1,lagged,power,0.715,0.7204904707048436,0.14724550898203592
RC,2,lagged,power,0.57,0.7422303974959165,0.19440119760479044
RC,3,lagged,power,0.545,0.6529108349302564,0.20188622754491017
RC,4,lagged,power,0.345,0.5544420741843861,0.2934431137724551
SS,0,lagged,power,0.62,0.6805634174514852,0.3479241516966068
SS,1,lagged,power,0.605,0.6917298386287031,0.33915169660678646
SS,2,lagged,power,0.53,0.7447946315836067,0.3501197604790419
SS,3,lagged,power,0.285,0.8914909099055939,0.41724550898203594
SS,4,lagged,power,0.13,1.3883520068129886,0.46399201596806383
cDM,0,lagged,power,0.265,,0.3214570858283433
cDM,1,lagged,power,0.26,,0.3410279441117765
cDM,2,lagged,power,0.17,,0.4091317365269461
cDM,3,lagged,power,0.16,,0.4178542914171657
cDM,4,lagged,power,0.14,,0.4612075848303393
