method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.17,,0.4170059880239521
DM,1,static,power,0.185,,0.4185928143712575
DM,2,static,power,0.185,,0.42390219560878245
DM,3,static,power,0.145,,0.46009980039920156
DM,4,static,power,0.105,,0.4888522954091816
Oracle,0,static,power,1.0,,0.001996007984031936
Oracle,1,static,power,1.0,,0.001996007984031936
Oracle,2,static,power,1.0,,0.002155688622754491
Oracle,3,static,power,0.985,,0.008353293413173653
Oracle,4,static,power,0.695,,0.08784431137724552
RV,0,static,power,0.8,0.9770522166555835,0.08513972055888223
RV,1,static,power,0.72,0.9691040079529323,0.11243512974051896
RV,2,static,power,0.62,0.9692016886035931,0.15127744510978045
RV,3,static,power,0.505,0.9676186706129691,0.19087824351297406
RV,4,static,power,0.275,0.9075960517781203,0.30041916167664673
SS,0,static,power,0.3,0.7801851694655256,0.42274451097804394
SS,1,static,power,0.26,0.8562052865115848,0.4655788423153692
SS,2,static,power,0.23,0.9661602287308725,0.4473053892215569
SS,3,static,power,0.14,1.178474409373371,0.5046906187624751
SS,4,static,power,0.095,1.7311247676590609,0.49153692614770456
cDM,0,static,power,0.19,,0.3906786427145708
cDM,1,static,power,0.21,,0.4029441117764471
cDM,2,static,power,0.22,,0.4120558882235529
cDM,3,static,power,0.155,,0.466437125748503
cDM,4,static,power,0.12,,0.5044510978043912
