method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.15,,0.43574850299401197
DM,1,lagged,power,0.165,,0.45615768463073847
DM,2,lagged,power,0.17,,0.47731536926147705
DM,3,lagged,power,0.165,,0.4825249500998004
DM,4,lagged,power,0.125,,0.49409181636726546
Oracle,0,lagged,power,1.0,,0.001996007984031936
Oracle,1,lagged,power,1.0,,0.001996007984031936
Oracle,2,lagged,power,1.0,,0.00217564870259481
Oracle,3,lagged,power,0.985,,0.008323353293413174
Oracle,4,lagged,power,0.65,,0.11330339321357286
RC,0,lagged,power,0.64,0.7980687139993227,0.17810379241516966
RC,1,lagged,power,0.63,0.7614493163871978,0.2023253493013972
RC,2,lagged,power,0.475,0.7890951122079326,0.2499500998003992
RC,3,lagged,power,0.445,0.7207937470045923,0.2758483033932136
RC,4,lagged,power,0.265,0.6482740299590184,0.350938123752495
SS,0,lagged,power,0.4,0.7665740356091371,0.40499001996007983
SS,1,lagged,power,0.355,0.7715797094085708,0.4398502994011976
SS,2,lagged,power,0.29,0.8143776775989876,0.44528942115768466
SS,3,lagged,power,0.155,0.9961442909483955,0.46685628742514973
SS,4,lagged,power,0.075,1.5882161949361657,0.5161976047904191
cDM,0,lagged,power,0.225,,0.3785828343313373
cDM,1,lagged,power,0.18,,0.4081936127744511
cDM,2,lagged,power,0.135,,0.4500598802395209
cDM,3,lagged,power,0.145,,0.445998003992016
cDM,4,lagged,power,0.135,,0.48409181636726545
