method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.15,,0.4356740426572948
DM,1,lagged,power,0.17,,0.46610410627835774
DM,2,lagged,power,0.17,,0.48753752365605735
DM,3,lagged,power,0.11,,0.5013664245875473
DM,4,lagged,power,0.115,,0.5045109780439122
Oracle,0,lagged,power,1.0,,6.929066289073589e-08
Oracle,1,lagged,power,1.0,,3.4113772346727143e-06
Oracle,2,lagged,power,1.0,,0.00020810339643320423
Oracle,3,lagged,power,0.985,,0.009006210361594835
Oracle,4,lagged,power,0.765,,0.07917165668662675
RC,0,lagged,power,0.705,0.7694095452355377,0.12837940534058645
RC,1,lagged,power,0.65,0.7408665321274818,0.14137633508355074
RC,2,lagged,power,0.585,0.7839964702163195,0.18570589264102963
RC,3,lagged,power,0.49,0.7031095986754583,0.22732001501173715
RC,4,lagged,power,0.305,0.6169442846830452,0.2918263473053892
SS,0,lagged,power,0.575,0.696519131128284,0.3403613415931118
SS,1,lagged,power,0.53,0.7090633090702491,0.3576188915833998
SS,2,lagged,power,0.42,0.7735047450926771,0.35219403037861463
SS,3,lagged,power,0.2,0.9374094181848723,0.4299419771467101
SS,4,lagged,power,0.13,1.490932829898267,0.4755189620758483
cDM,0,lagged,power,0.245,,0.34303422107313536
cDM,1,lagged,power,0.185,,0.39444614008045614
cDM,2,lagged,power,0.17,,0.4086008664260711
cDM,3,lagged,power,0.145,,0.4595839410303721
cDM,4,lagged,power,0.105,,0.5003293413173653
